Ano,Setor,Valor
2025,COMERCIAL,35876243
2024,COMERCIAL,104092740
2023,COMERCIAL,97912618
2022,COMERCIAL,92495453
2021,COMERCIAL,87787770
2020,COMERCIAL,82523991
2019,COMERCIAL,92083492
2018,COMERCIAL,88660052
2017,COMERCIAL,88292490
2016,COMERCIAL,87872991
2015,COMERCIAL,90767541
2014,COMERCIAL,89840459
2013,COMERCIAL,83703880
2012,COMERCIAL,79226356
2011,COMERCIAL,73481523
2010,COMERCIAL,69169997
2009,COMERCIAL,65254562
2008,COMERCIAL,61812900
2007,COMERCIAL,58647003
2006,COMERCIAL,55368743
2005,COMERCIAL,53031687
2004,COMERCIAL,49677895
