Ano,Setor,Valor
2025,INDUSTRIAL,65200479
2024,INDUSTRIAL,197648011
2023,INDUSTRIAL,188528215
2022,INDUSTRIAL,184551148
2021,INDUSTRIAL,182151062
2020,INDUSTRIAL,166426672
2019,INDUSTRIAL,168079213
2018,INDUSTRIAL,170446600
2017,INDUSTRIAL,168029937
2016,INDUSTRIAL,166010005
2015,INDUSTRIAL,169720724
2014,INDUSTRIAL,179479169
2013,INDUSTRIAL,184984020
2012,INDUSTRIAL,183424839
2011,INDUSTRIAL,183575548
2010,INDUSTRIAL,179478307
2009,INDUSTRIAL,161798662
2008,INDUSTRIAL,175834058
2007,INDUSTRIAL,174368774
2006,INDUSTRIAL,163180378
2005,INDUSTRIAL,159665151
2004,INDUSTRIAL,156328667
