Ano,Setor,Valor
2025,RESIDENCIAL,62433443
2024,RESIDENCIAL,176518836
2023,RESIDENCIAL,164734991
2022,RESIDENCIAL,152771034
2021,RESIDENCIAL,151349319
2020,RESIDENCIAL,148173176
2019,RESIDENCIAL,142411125
2018,RESIDENCIAL,137699604
2017,RESIDENCIAL,134368498
2016,RESIDENCIAL,132872085
2015,RESIDENCIAL,131189768
2014,RESIDENCIAL,132301850
2013,RESIDENCIAL,124907962
2012,RESIDENCIAL,117645850
2011,RESIDENCIAL,111970666
2010,RESIDENCIAL,107214670
2009,RESIDENCIAL,100776170
2008,RESIDENCIAL,94746389
2007,RESIDENCIAL,89885372
2006,RESIDENCIAL,85783847
2005,RESIDENCIAL,82639747
2004,RESIDENCIAL,78470208
