Ano,Mês,Região,Valor
2025,JAN,Norte,3618410
2025,FEV,Norte,3372379
2025,MAR,Norte,3515607
2025,ABR,Norte,3624335
2025,JAN,Nordeste,8466633
2025,FEV,Nordeste,8199810
2025,MAR,Nordeste,8352242
2025,ABR,Nordeste,8442959
2025,JAN,Sudeste,22558521
2025,FEV,Sudeste,22876610
2025,MAR,Sudeste,23753392
2025,ABR,Sudeste,22328495
2025,JAN,Sul,8883069
2025,FEV,Sul,9703075
2025,MAR,Sul,9749096
2025,ABR,Sul,8743641
2025,JAN,Centro-Oeste,3617075
2025,FEV,Centro-Oeste,3700287
2025,MAR,Centro-Oeste,3857465
2025,ABR,Centro-Oeste,3852413
2024,JAN,Norte,3467739
2024,FEV,Norte,3313356
2024,MAR,Norte,3469827
2024,ABR,Norte,3483942
2024,MAI,Norte,3637943
2024,JUN,Norte,3576635
2024,JUL,Norte,3713667
2024,AGO,Norte,3818711
2024,SET,Norte,3873153
2024,OUT,Norte,3943200
2024,NOV,Norte,3831848
2024,DEZ,Norte,3767051
2024,JAN,Nordeste,8425050
2024,FEV,Nordeste,8143742
2024,MAR,Nordeste,8233999
2024,ABR,Nordeste,8328842
2024,MAI,Nordeste,8331418
2024,JUN,Nordeste,8219744
2024,JUL,Nordeste,8008589
2024,AGO,Nordeste,8173625
2024,SET,Nordeste,8305615
2024,OUT,Nordeste,8376096
2024,NOV,Nordeste,8739757
2024,DEZ,Nordeste,8751443
2024,JAN,Sudeste,22478505
2024,FEV,Sudeste,22120148
2024,MAR,Sudeste,23128301
2024,ABR,Sudeste,22741506
2024,MAI,Sudeste,22970990
2024,JUN,Sudeste,21978148
2024,JUL,Sudeste,21434715
2024,AGO,Sudeste,21816537
2024,SET,Sudeste,22175367
2024,OUT,Sudeste,23084454
2024,NOV,Sudeste,22217443
2024,DEZ,Sudeste,22483820
2024,JAN,Sul,8893431
2024,FEV,Sul,9154407
2024,MAR,Sul,9353981
2024,ABR,Sul,9076958
2024,MAI,Sul,8382905
