Estado,Ano,Mes,Consumo
Rondônia,2004,JAN,112812.0
Acre,2004,JAN,34840.0
Amazonas,2004,JAN,274773.0
Roraima,2004,JAN,31696.0
Pará,2004,JAN,1011353.0
Amapá,2004,JAN,43084.0
Tocantins,2004,JAN,65877.0
Maranhão,2004,JAN,737033.0
Piauí,2004,JAN,131052.0
Ceará,2004,JAN,518714.0
Rio Grande do Norte,2004,JAN,268614.0
Paraíba,2004,JAN,236449.0
Pernambuco,2004,JAN,643102.0
Alagoas,2004,JAN,285489.0
Sergipe,2004,JAN,192207.0
Bahia,2004,JAN,1444451.0
Minas Gerais,2004,JAN,3732811.0
Espírito Santo,2004,JAN,607655.0
Rio de Janeiro,2004,JAN,2612753.0
São Paulo,2004,JAN,7976309.0
Paraná,2004,JAN,1596274.0
Santa Catarina,2004,JAN,1132926.0
Rio Grande do Sul,2004,JAN,1780912.0
Mato Grosso do Sul,2004,JAN,272917.0
Mato Grosso,2004,JAN,292173.0
Goiás,2004,JAN,630624.0
Distrito Federal,2004,JAN,311459.0
Rondônia,2005,JAN,116926.0
Acre,2005,JAN,36639.0
Amazonas,2005,JAN,299783.0
Roraima,2005,JAN,32340.0
Pará,2005,JAN,1083695.0
Amapá,2005,JAN,46518.0
Tocantins,2005,JAN,71638.0
Maranhão,2005,JAN,756950.0
Piauí,2005,JAN,136669.0
Ceará,2005,JAN,563304.0
Rio Grande do Norte,2005,JAN,286726.0
Paraíba,2005,JAN,261436.0
Pernambuco,2005,JAN,728644.0
Alagoas,2005,JAN,309966.0
Sergipe,2005,JAN,210818.0
Bahia,2005,JAN,1520662.0
Minas Gerais,2005,JAN,3824588.0
Espírito Santo,2005,JAN,631197.0
Rio de Janeiro,2005,JAN,2757858.0
São Paulo,2005,JAN,8304845.0
Paraná,2005,JAN,1636131.0
Santa Catarina,2005,JAN,1214279.0
Rio Grande do Sul,2005,JAN,1959007.0
Mato Grosso do Sul,2005,JAN,284291.0
Mato Grosso,2005,JAN,311956.0
Goiás,2005,JAN,651986.0
Distrito Federal,2005,JAN,336585.0
Rondônia,2006,JAN,122877.0
Acre,2006,JAN,39805.0
Amazonas,2006,JAN,298210.0
Roraima,2006,JAN,30879.0
Pará,2006,JAN,1115851.0
Amapá,2006,JAN,46760.0
Tocantins,2006,JAN,73550.0
Maranhão,2006,JAN,815424.0
Piauí,2006,JAN,135330.0
Ceará,2006,JAN,595421.0
Rio Grande do Norte,2006,JAN,292111.0
Paraíba,2006,JAN,269455.0
Pernambuco,2006,JAN,736715.0
Alagoas,2006,JAN,306139.0
Sergipe,2006,JAN,219440.0
Bahia,2006,JAN,1543146.0
Minas Gerais,2006,JAN,3708988.0
Espírito Santo,2006,JAN,657080.0
Rio de Janeiro,2006,JAN,2688250.0
São Paulo,2006,JAN,8641302.0
Paraná,2006,JAN,1750081.0
Santa Catarina,2006,JAN,1238642.0
Rio Grande do Sul,2006,JAN,1938877.0
Mato Grosso do Sul,2006,JAN,279926.0
Mato Grosso,2006,JAN,322865.0
Goiás,2006,JAN,678990.0
Distrito Federal,2006,JAN,334796.0
Rondônia,2007,JAN,128493.0
Acre,2007,JAN,42215.0
Amazonas,2007,JAN,312475.0
Roraima,2007,JAN,35749.0
Pará,2007,JAN,1180334.0
Amapá,2007,JAN,52994.0
Tocantins,2007,JAN,81448.0
Maranhão,2007,JAN,890493.0
Piauí,2007,JAN,144519.0
Ceará,2007,JAN,605060.0
Rio Grande do Norte,2007,JAN,328903.0
Paraíba,2007,JAN,281295.0
Pernambuco,2007,JAN,783429.0
Alagoas,2007,JAN,331620.0
Sergipe,2007,JAN,236684.0
Bahia,2007,JAN,1582825.0
Minas Gerais,2007,JAN,4040359.0
Espírito Santo,2007,JAN,695639.0
Rio de Janeiro,2007,JAN,2842070.0
São Paulo,2007,JAN,9121802.0
Paraná,2007,JAN,1773870.0
Santa Catarina,2007,JAN,1362163.0
Rio Grande do Sul,2007,JAN,2067396.0
Mato Grosso do Sul,2007,JAN,290614.0
Mato Grosso,2007,JAN,351185.0
Goiás,2007,JAN,773375.0
Distrito Federal,2007,JAN,362695.0
Rondônia,2008,JAN,138465.0
Acre,2008,JAN,46028.0
Amazonas,2008,JAN,331368.0
Roraima,2008,JAN,35196.0
Pará,2008,JAN,1195285.0
Amapá,2008,JAN,54293.0
Tocantins,2008,JAN,89685.0
Maranhão,2008,JAN,915225.0
Piauí,2008,JAN,156434.0
Ceará,2008,JAN,622812.0
Rio Grande do Norte,2008,JAN,344022.0
Paraíba,2008,JAN,307173.0
Pernambuco,2008,JAN,808510.0
Alagoas,2008,JAN,350434.0
Sergipe,2008,JAN,248582.0
Bahia,2008,JAN,1752197.0
Minas Gerais,2008,JAN,3910849.0
Espírito Santo,2008,JAN,727416.0
Rio de Janeiro,2008,JAN,3031344.0
São Paulo,2008,JAN,9488024.0
Paraná,2008,JAN,1909381.0
Santa Catarina,2008,JAN,1389360.0
Rio Grande do Sul,2008,JAN,2192337.0
Mato Grosso do Sul,2008,JAN,288472.0
Mato Grosso,2008,JAN,374025.0
Goiás,2008,JAN,754671.0
Distrito Federal,2008,JAN,394358.0
Rondônia,2009,JAN,149272.0
Acre,2009,JAN,50426.0
Amazonas,2009,JAN,329661.0
Roraima,2009,JAN,37512.0
Pará,2009,JAN,1263146.0
Amapá,2009,JAN,58480.0
Tocantins,2009,JAN,93416.0
Maranhão,2009,JAN,928063.0
Piauí,2009,JAN,159326.0
Ceará,2009,JAN,685028.0
Rio Grande do Norte,2009,JAN,350083.0
Paraíba,2009,JAN,309739.0
Pernambuco,2009,JAN,784284.0
Alagoas,2009,JAN,328802.0
Sergipe,2009,JAN,252691.0
Bahia,2009,JAN,1542315.0
Minas Gerais,2009,JAN,3550614.0
Espírito Santo,2009,JAN,552533.0
Rio de Janeiro,2009,JAN,2806552.0
São Paulo,2009,JAN,9214649.0
Paraná,2009,JAN,1875844.0
Santa Catarina,2009,JAN,1359582.0
Rio Grande do Sul,2009,JAN,2044046.0
Mato Grosso do Sul,2009,JAN,306892.0
Mato Grosso,2009,JAN,414707.0
Goiás,2009,JAN,793157.0
Distrito Federal,2009,JAN,425842.0
Rondônia,2010,JAN,167599.0
Acre,2010,JAN,53457.0
Amazonas,2010,JAN,369600.0
Roraima,2010,JAN,45039.0
Pará,2010,JAN,1263569.0
Amapá,2010,JAN,62585.0
Tocantins,2010,JAN,103496.0
Maranhão,2010,JAN,962612.0
Piauí,2010,JAN,179415.0
Ceará,2010,JAN,713169.0
Rio Grande do Norte,2010,JAN,365312.0
Paraíba,2010,JAN,330804.0
Pernambuco,2010,JAN,861949.0
Alagoas,2010,JAN,338838.0
Sergipe,2010,JAN,271155.0
Bahia,2010,JAN,1716692.0
Minas Gerais,2010,JAN,4076332.0
Espírito Santo,2010,JAN,792152.0
Rio de Janeiro,2010,JAN,3151953.0
São Paulo,2010,JAN,9663701.0
Paraná,2010,JAN,2058913.0
Santa Catarina,2010,JAN,1516949.0
Rio Grande do Sul,2010,JAN,2222844.0
Mato Grosso do Sul,2010,JAN,327164.0
Mato Grosso,2010,JAN,440422.0
Goiás,2010,JAN,847510.0
Distrito Federal,2010,JAN,457229.0
Rondônia,2011,JAN,189384.0
Acre,2011,JAN,60050.0
Amazonas,2011,JAN,388938.0
Roraima,2011,JAN,51583.0
Pará,2011,JAN,1343143.0
Amapá,2011,JAN,65575.0
Tocantins,2011,JAN,117082.0
Maranhão,2011,JAN,993051.0
Piauí,2011,JAN,198865.0
Ceará,2011,JAN,743669.0
Rio Grande do Norte,2011,JAN,371810.0
Paraíba,2011,JAN,346337.0
Pernambuco,2011,JAN,951431.0
Alagoas,2011,JAN,330437.0
Sergipe,2011,JAN,295108.0
Bahia,2011,JAN,1757892.0
Minas Gerais,2011,JAN,4431243.0
Espírito Santo,2011,JAN,836939.0
Rio de Janeiro,2011,JAN,3426819.0
São Paulo,2011,JAN,10552693.0
Paraná,2011,JAN,2140007.0
Santa Catarina,2011,JAN,1677012.0
Rio Grande do Sul,2011,JAN,2468114.0
Mato Grosso do Sul,2011,JAN,352957.0
Mato Grosso,2011,JAN,444178.0
Goiás,2011,JAN,853675.0
Distrito Federal,2011,JAN,485752.0
Rondônia,2012,JAN,207648.0
Acre,2012,JAN,62817.0
Amazonas,2012,JAN,425582.0
Roraima,2012,JAN,51477.0
Pará,2012,JAN,1426237.0
Amapá,2012,JAN,74058.0
Tocantins,2012,JAN,121086.0
Maranhão,2012,JAN,987765.0
Piauí,2012,JAN,216823.0
Ceará,2012,JAN,822700.0
Rio Grande do Norte,2012,JAN,403529.0
Paraíba,2012,JAN,379984.0
Pernambuco,2012,JAN,999461.0
Alagoas,2012,JAN,370485.0
Sergipe,2012,JAN,307050.0
Bahia,2012,JAN,1810031.0
Minas Gerais,2012,JAN,4290700.0
Espírito Santo,2012,JAN,790622.0
Rio de Janeiro,2012,JAN,3173443.0
São Paulo,2012,JAN,10660653.0
Paraná,2012,JAN,2230287.0
Santa Catarina,2012,JAN,1701910.0
Rio Grande do Sul,2012,JAN,2421080.0
Mato Grosso do Sul,2012,JAN,383280.0
Mato Grosso,2012,JAN,483515.0
Goiás,2012,JAN,1025242.0
Distrito Federal,2012,JAN,477702.0
Rondônia,2013,JAN,225761.0
Acre,2013,JAN,67457.0
Amazonas,2013,JAN,459640.0
Roraima,2013,JAN,57109.0
Pará,2013,JAN,1367401.0
Amapá,2013,JAN,79073.0
Tocantins,2013,JAN,136012.0
Maranhão,2013,JAN,945840.0
Piauí,2013,JAN,227624.0
Ceará,2013,JAN,889393.0
Rio Grande do Norte,2013,JAN,432387.0
Paraíba,2013,JAN,421347.0
Pernambuco,2013,JAN,1075306.0
Alagoas,2013,JAN,411002.0
Sergipe,2013,JAN,325139.0
Bahia,2013,JAN,1935486.0
Minas Gerais,2013,JAN,4490111.0
Espírito Santo,2013,JAN,917588.0
Rio de Janeiro,2013,JAN,3562551.0
São Paulo,2013,JAN,11119636.0
Paraná,2013,JAN,2308359.0
Santa Catarina,2013,JAN,1844293.0
Rio Grande do Sul,2013,JAN,2464451.0
Mato Grosso do Sul,2013,JAN,429745.0
Mato Grosso,2013,JAN,568878.0
Goiás,2013,JAN,1093304.0
Distrito Federal,2013,JAN,536145.0
Rondônia,2014,JAN,244037.0
Acre,2014,JAN,74096.0
Amazonas,2014,JAN,501549.0
Roraima,2014,JAN,64086.0
Pará,2014,JAN,1490023.0
Amapá,2014,JAN,86182.0
Tocantins,2014,JAN,140999.0
Maranhão,2014,JAN,846344.0
Piauí,2014,JAN,250521.0
Ceará,2014,JAN,925025.0
Rio Grande do Norte,2014,JAN,457425.0
Paraíba,2014,JAN,444699.0
Pernambuco,2014,JAN,1147434.0
Alagoas,2014,JAN,445792.0
Sergipe,2014,JAN,340330.0
Bahia,2014,JAN,2032130.0
Minas Gerais,2014,JAN,4557459.0
Espírito Santo,2014,JAN,912823.0
Rio de Janeiro,2014,JAN,3713671.0
São Paulo,2014,JAN,11520387.0
Paraná,2014,JAN,2458363.0
Santa Catarina,2014,JAN,2055710.0
Rio Grande do Sul,2014,JAN,2819014.0
Mato Grosso do Sul,2014,JAN,452981.0
Mato Grosso,2014,JAN,570275.0
Goiás,2014,JAN,1164360.0
Distrito Federal,2014,JAN,590201.0
Rondônia,2015,JAN,244764.0
Acre,2015,JAN,73649.0
Amazonas,2015,JAN,524542.0
Roraima,2015,JAN,74457.0
Pará,2015,JAN,1559812.0
Amapá,2015,JAN,87367.0
Tocantins,2015,JAN,155304.0
Maranhão,2015,JAN,681792.0
Piauí,2015,JAN,273383.0
Ceará,2015,JAN,968856.0
Rio Grande do Norte,2015,JAN,476314.0
Paraíba,2015,JAN,442275.0
Pernambuco,2015,JAN,1196394.0
Alagoas,2015,JAN,433782.0
Sergipe,2015,JAN,351789.0
Bahia,2015,JAN,2086184.0
Minas Gerais,2015,JAN,4490376.0
Espírito Santo,2015,JAN,1012049.0
Rio de Janeiro,2015,JAN,3959162.0
São Paulo,2015,JAN,11481676.0
Paraná,2015,JAN,2554074.0
Santa Catarina,2015,JAN,2057739.0
Rio Grande do Sul,2015,JAN,2718925.0
Mato Grosso do Sul,2015,JAN,486630.0
Mato Grosso,2015,JAN,619885.0
Goiás,2015,JAN,1141425.0
Distrito Federal,2015,JAN,563154.0
Rondônia,2016,JAN,238440.0
Acre,2016,JAN,81384.0
Amazonas,2016,JAN,509002.0
Roraima,2016,JAN,72024.0
Pará,2016,JAN,1592424.0
Amapá,2016,JAN,89831.0
Tocantins,2016,JAN,151612.0
Maranhão,2016,JAN,528069.0
Piauí,2016,JAN,265941.0
