Ano,Eólica,Hidrelétrica,Solar,Biomassa
2004,0.06,317.59,0.0,11.78
2005,0.09,334.08,0.0,12.79
2006,0.24,345.32,0.0,13.99
2007,0.64,370.27,0.0,16.97
2008,0.84,365.86,0.0,18.91
2009,1.24,387.08,0.0,21.81
2010,2.18,399.26,0.0,30.52
2011,2.7,424.05,0.0,31.29
2012,5.05,411.19,0.01,34.35
2013,6.58,387.08,0.0,39.22
2014,12.21,369.7,0.02,45.05
2015,21.63,356.15,0.06,47.7
2016,33.49,377.1,0.09,49.18
2017,42.37,367.2,0.83,50.51
2018,48.47,385.08,3.46,51.97
2019,55.99,393.9,6.66,52.39
2020,57.05,409.5,10.75,50.92
2021,72.24,371.81,12.48,48.97
