,2025,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ
Norte,3.618.410,3.372.379,3.515.607,3.624.335,,,,,,,,
Nordeste,8.466.633,8.199.810,8.352.242,8.442.959,,,,,,,,
Sudeste,22.558.521,22.876.610,23.753.392,22.328.495,,,,,,,,
Sul,8.883.069,9.703.075,9.749.096,8.743.641,,,,,,,,
Centro-Oeste,3.617.075,3.700.287,3.857.465,3.852.413,,,,,,,,
,2024,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ
Norte,3.467.739,3.313.356,3.469.827,3.483.942,3.637.943,3.576.635,3.713.667,3.818.711,3.873.153,3.943.200,3.831.848,3.767.051
Nordeste,8.425.050,8.143.742,8.233.999,8.328.842,8.331.418,8.219.744,8.008.589,8.173.625,8.305.615,8.376.096,8.739.757,8.751.443
Sudeste,22.478.505,22.120.148,23.128.301,22.741.506,22.970.990,21.978.148,21.434.715,21.816.537,22.175.367,23.084.454,22.217.443,22.483.820
Sul,8.893.431,9.154.407,9.353.981,9.076.958,8.382.905,8.213.253,8.159.423,8.629.077,8.235.815,8.448.602,8.671.311,8.583.174
Centro-Oeste,3.702.292,3.634.961,3.762.879,3.763.032,3.779.778,3.640.211,3.595.761,3.693.112,3.815.494,4.142.961,3.908.409,3.784.212
,2023,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ
Norte,3.179.390,2.962.217,3.327.773,3.213.743,3.393.478,3.383.445,3.426.421,3.601.723,3.679.263,3.728.981,3.628.495,3.554.579
Nordeste,7.661.411,7.494.725,7.914.539,7.809.122,7.940.968,7.727.778,7.463.808,7.737.155,8.056.617,8.202.190,8.478.291,8.484.406
Sudeste,20.159.474,20.704.476,22.083.389,21.706.203,20.584.053,20.480.714,20.135.945,20.744.961,21.190.187,22.135.334,22.489.273,22.841.022
Sul,8.299.477,8.623.366,8.953.570,8.645.237,7.868.683,7.697.985,7.717.651,7.800.008,7.820.102,8.053.990,8.035.720,8.375.045
Centro-Oeste,3.239.634,3.235.807,3.443.078,3.509.716,3.376.732,3.366.829,3.270.084,3.546.318,3.730.073,3.953.556,4.033.555,3.967.595
,2022,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ
Norte,3.033.623,2.774.994,3.003.639,2.935.354,3.100.076,3.120.429,3.254.854,3.418.846,3.380.412,3.421.293,3.303.481,3.309.523
Nordeste,7.269.935,6.998.206,7.459.576,7.240.388,7.271.204,7.021.728,7.104.761,7.299.211,7.422.700,7.644.765,7.785.448,7.692.127
Sudeste,20.526.803,20.326.412,22.018.183,21.769.759,20.788.847,19.924.574,19.948.620,20.376.353,20.442.843,20.496.295,20.581.355,20.763.406
Sul,8.495.715,8.542.969,8.763.541,7.905.047,7.536.736,7.588.737,7.629.542,7.645.256,7.536.752,7.417.894,7.580.349,8.006.829
Centro-Oeste,3.254.143,3.211.240,3.381.590,3.416.666,3.364.932,3.287.644,3.299.397,3.400.608,3.535.779,3.538.894,3.472.783,3.453.736
,2021,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ
Norte,2.875.950,2.759.395,2.895.325,2.990.546,3.055.980,3.059.725,3.049.402,3.162.099,3.189.274,3.218.087,3.177.905,3.176.747
Nordeste,7.417.174,7.042.160,7.243.497,7.204.031,6.972.996,6.993.013,6.992.882,7.109.161,7.189.200,7.538.639,7.482.815,7.713.114
Sudeste,21.497.695,20.537.613,21.988.991,21.063.025,19.963.256,19.751.841,19.528.232,19.800.843,20.668.965,20.797.280,20.237.021,20.722.874
Sul,8.097.670,7.972.092,8.257.890,8.109.892,7.579.902,7.330.463,7.472.283,7.606.945,7.349.094,7.453.424,7.606.358,7.894.045
Centro-Oeste,3.180.163,3.167.228,3.272.664,3.282.837,3.218.267,3.302.966,3.155.711,3.234.281,3.565.928,3.606.058,3.371.609,3.421.799
,2020,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ
Norte,2.894.525,2.836.047,2.815.284,2.629.850,2.656.714,2.708.916,2.898.335,3.035.361,3.085.360,3.160.122,3.007.704,2.991.752
Nordeste,7.128.278,6.811.403,6.935.383,6.361.675,6.359.770,6.238.179,6.532.533,6.528.108,6.828.702,7.350.431,7.035.027,7.110.824
Sudeste,20.157.502,20.028.600,20.221.090,18.064.680,17.378.115,17.315.901,18.381.116,19.324.707,19.785.077,21.224.406,20.377.363,20.807.481
Sul,7.980.475,8.120.195,7.950.412,7.081.306,6.672.169,6.566.359,6.979.429,7.110.003,7.263.502,7.490.578,7.579.250,7.842.893
Centro-Oeste,3.169.727,3.200.775,3.220.225,3.124.424,3.059.095,2.943.313,3.079.028,3.245.842,3.389.758,3.648.876,3.416.130,3.411.475
,2019,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ
Norte,2.563.184,2.421.379,2.600.591,2.568.934,2.688.743,2.720.527,2.820.493,2.881.216,2.938.026,2.965.331,2.951.783,2.994.753
Nordeste,6.979.387,6.827.894,7.056.849,6.780.239,7.062.679,6.632.694,6.679.905,6.552.950,6.640.923,7.145.735,7.310.777,7.551.024
Sudeste,21.091.981,20.711.194,20.762.876,19.957.402,20.326.519,19.114.047,18.811.922,19.036.270,19.459.624,20.348.905,20.785.147,19.726.328
Sul,8.028.901,8.158.620,7.785.539,7.495.630,7.405.803,7.087.722,7.111.362,7.200.427,7.061.352,7.377.360,7.547.476,7.471.002
Centro-Oeste,3.153.135,3.206.029,3.104.065,3.083.639,3.174.962,3.057.548,3.061.184,3.137.634,3.366.801,3.446.465,3.399.533,3.208.557
,2018,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ
Norte,2.812.898,2.650.539,2.868.573,2.679.314,2.666.895,2.582.787,2.658.452,2.688.994,2.689.093,2.829.919,2.723.638,2.585.260
Nordeste,6.718.801,6.357.334,6.587.721,6.668.104,6.660.480,6.603.193,6.527.352,6.694.636,6.643.931,7.060.111,7.190.633,7.007.459
Sudeste,20.073.680,19.694.491,20.848.628,20.729.772,19.740.642,19.178.177,19.270.395,19.375.885,19.602.206,20.105.240,20.152.702,20.022.600
Sul,7.543.504,7.599.890,7.802.534,7.556.919,7.233.488,6.926.867,7.081.435,7.173.673,6.986.007,7.117.886,7.202.612,7.297.998
Centro-Oeste,2.921.618,2.905.102,3.031.726,3.086.858,3.013.784,2.942.775,3.006.576,3.123.337,3.158.158,3.314.445,3.171.851,3.142.225
,2017,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ
Norte,2.766.063,2.556.160,2.795.464,2.721.049,2.934.453,2.891.844,2.882.108,3.041.036,2.983.201,3.056.787,2.965.901,2.915.303
Nordeste,6.698.406,6.349.872,6.797.242,6.568.527,6.678.952,6.598.211,6.386.164,6.508.541,6.517.828,6.877.932,6.912.689,6.910.271
Sudeste,19.686.157,19.583.907,20.172.691,19.877.597,18.885.259,18.859.514,18.392.331,18.499.902,19.351.381,19.442.583,19.915.401,19.748.006
Sul,7.336.983,7.546.357,7.874.809,7.304.948,6.722.502,6.828.027,6.776.855,6.899.718,7.002.470,6.909.221,6.962.420,7.146.416
Centro-Oeste,2.903.317,2.839.920,2.947.985,2.997.059,2.973.640,2.968.034,2.875.662,2.941.083,3.182.854,3.098.724,3.109.339,2.911.409
,2016,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ
Norte,2.734.717,2.708.799,2.863.718,2.727.271,2.862.447,2.818.826,2.900.857,2.932.615,2.919.161,2.946.530,2.952.602,2.896.559
Nordeste,6.543.905,6.285.470,6.800.586,6.611.776,6.724.308,6.604.304,6.471.043,6.525.392,6.631.317,6.688.902,6.826.028,6.867.825
Sudeste,19.314.001,19.495.060,19.611.354,20.520.225,19.303.127,18.651.589,18.388.987,18.697.911,19.239.375,19.147.568,19.361.478,19.268.369
Sul,7.006.050,7.435.557,7.281.857,7.357.144,6.888.256,6.671.439,6.696.955,6.639.373,6.609.824,6.477.768,6.713.126,6.950.033
Centro-Oeste,2.842.513,2.832.080,2.922.322,3.091.200,2.906.334,2.844.288,2.840.772,2.925.072,2.979.068,2.972.429,2.934.015,2.810.360
,2015,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ
Norte,2.719.895,2.564.690,2.708.587,2.646.115,2.717.649,2.692.275,2.832.877,2.891.977,2.964.444,3.050.012,2.958.108,2.962.634
Nordeste,6.910.768,6.695.450,6.850.712,6.679.151,6.662.518,6.443.549,6.220.911,6.339.650,6.391.792,6.644.503,6.664.351,6.802.749
Sudeste,20.943.263,20.869.827,20.150.053,20.215.138,19.296.452,18.752.591,18.532.921,19.084.994,18.919.408,19.814.546,19.836.832,19.359.382
Sul,7.330.738,7.665.269,7.278.854,7.236.052,6.683.610,6.567.886,6.446.540,6.648.544,6.494.009,6.593.180,6.665.911,6.609.532
Centro-Oeste,2.811.094,2.878.115,2.732.584,2.776.468,2.799.788,2.763.817,2.744.515,2.844.185,3.019.909,3.163.723,3.082.864,2.894.903
,2014,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ
Norte,2.600.972,2.476.973,2.612.667,2.601.327,2.707.327,2.643.397,2.720.799,2.759.032,2.836.892,2.825.876,2.762.256,2.816.133
Nordeste,6.889.700,6.623.968,6.860.921,6.687.697,6.689.128,6.384.599,6.563.376,6.663.973,6.732.911,6.941.588,6.933.719,6.881.215
Sudeste,20.704.340,21.652.958,20.717.543,20.451.935,20.068.194,19.293.127,19.130.088,19.438.306,19.529.007,20.304.956,20.968.110,20.098.588
Sul,7.333.087,8.019.594,7.281.924,7.007.480,6.794.930,6.627.215,6.639.960,6.872.774,6.787.415,6.922.704,7.264.836,7.266.585
Centro-Oeste,2.777.817,2.792.694,2.799.970,2.823.787,2.869.828,2.807.527,2.761.935,2.952.376,3.042.069,3.136.958,3.058.417,2.821.091
,2013,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ
Norte,2.392.453,2.266.206,2.378.192,2.461.104,2.454.164,2.449.533,2.562.520,2.559.396,2.571.187,2.720.586,2.641.606,2.738.735
Nordeste,6.663.524,6.455.462,6.708.919,6.855.469,6.663.637,6.387.356,6.537.945,6.583.577,6.539.700,6.835.807,6.762.927,6.737.081
Sudeste,20.089.886,19.775.484,19.907.218,20.097.448,19.911.821,19.652.655,19.331.509,19.838.087,20.027.335,20.325.563,20.765.973,20.381.824
Sul,6.617.103,6.952.735,6.833.953,6.572.123,6.613.672,6.498.366,6.544.154,6.797.218,6.572.961,6.654.874,6.849.526,6.885.986
Centro-Oeste,2.628.072,2.579.580,2.639.862,2.687.392,2.728.408,2.665.626,2.747.816,2.861.080,2.839.593,2.875.129,2.925.407,2.839.432
,2012,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ
Norte,2.368.905,2.321.772,2.439.658,2.361.905,2.430.160,2.382.274,2.397.648,2.490.521,2.455.692,2.505.782,2.484.062,2.410.373
Nordeste,6.297.828,6.010.436,6.407.753,6.271.553,6.436.375,6.135.291,6.111.808,6.323.564,6.288.243,6.427.697,6.421.108,6.478.746
Sudeste,18.915.418,19.327.465,20.243.305,20.295.686,19.244.538,19.343.073,18.762.191,19.393.131,19.904.342,19.837.975,20.485.581,19.506.176
Sul,6.353.277,6.812.782,7.026.116,6.534.981,6.141.747,6.180.121,6.188.904,6.391.481,6.340.229,6.251.818,6.543.892,6.725.279
Centro-Oeste,2.369.739,2.415.613,2.518.741,2.531.744,2.557.371,2.487.634,2.456.596,2.580.906,2.673.190,2.772.742,2.708.942,2.644.510
,2011,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ
Norte,2.215.755,2.063.282,2.235.928,2.218.663,2.262.894,2.323.604,2.351.516,2.406.843,2.419.447,2.476.119,2.369.154,2.415.932
Nordeste,5.988.600,5.502.639,6.026.836,5.966.554,5.899.310,5.809.043,5.936.622,6.092.998,6.093.026,6.216.199,6.137.780,6.244.198
Sudeste,19.247.694,19.218.269,19.390.849,19.369.031,18.908.980,18.737.534,18.731.628,19.249.143,19.753.623,19.385.128,19.378.704,19.297.800
Sul,6.285.133,6.504.407,6.435.946,6.183.233,6.147.984,6.011.171,6.081.811,6.177.576,6.133.865,6.118.714,6.045.746,6.344.201
Centro-Oeste,2.136.562,2.156.320,2.261.131,2.310.837,2.346.819,2.278.222,2.315.716,2.409.253,2.565.228,2.547.610,2.437.006,2.439.818
,2010,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ
Norte,2.065.345,1.976.810,2.107.323,2.146.015,2.175.440,2.198.244,2.195.788,2.228.538,2.279.912,2.325.698,2.262.057,2.260.546
Nordeste,5.739.946,5.589.432,6.118.961,5.884.040,5.959.632,5.905.720,5.844.282,5.833.193,5.896.294,6.123.244,6.136.436,6.165.765
Sudeste,17.684.138,18.113.423,18.521.916,18.825.122,18.240.192,18.212.704,17.936.477,18.656.632,18.980.234,18.818.098,18.709.507,19.306.259
Sul,5.798.706,5.979.347,6.199.985,5.982.263,5.730.901,5.652.619,5.706.940,5.755.499,5.711.563,5.628.306,5.758.556,6.029.231
Centro-Oeste,2.072.325,2.070.746,2.168.697,2.188.420,2.190.813,2.200.172,2.165.862,2.239.532,2.314.269,2.293.579,2.211.426,2.194.639
,2009,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ
Norte,1.981.913,1.804.162,1.882.490,1.919.027,1.923.559,1.993.823,2.023.693,2.074.891,2.089.534,2.135.822,2.132.369,2.121.716
Nordeste,5.340.331,5.098.685,5.391.003,5.307.847,5.189.806,5.122.412,5.257.444,5.501.276,5.581.245,5.779.775,5.705.872,5.968.068
Sudeste,16.124.348,16.190.533,16.931.565,17.027.530,16.500.151,16.330.119,16.655.879,17.158.443,17.516.988,17.858.520,18.058.927,18.201.962
Sul,5.279.472,5.465.140,5.742.612,5.671.556,5.266.440,5.261.043,5.315.045,5.392.188,5.362.624,5.440.950,5.591.816,5.739.383
