Região,2025*,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
TOTAL BRASIL,47.143.708,47.852.162,49.227.801,46.991.844,,,,,,,,,191.215.515
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,3.618.410,3.372.379,3.515.607,3.624.335,,,,,,,,,14.130.731
Nordeste,8.466.633,8.199.810,8.352.242,8.442.959,,,,,,,,,33.461.643
Sudeste,22.558.521,22.876.610,23.753.392,22.328.495,,,,,,,,,91.517.019
Sul,8.883.069,9.703.075,9.749.096,8.743.641,,,,,,,,,37.078.882
Centro-Oeste,3.617.075,3.700.287,3.857.465,3.852.413,,,,,,,,,15.027.240
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas isolados,238.173,223.876,227.402,233.772,,,,,,,,,923.224
Norte,4.259.555,3.952.191,4.145.627,4.288.057,,,,,,,,,16.645.431
Nordeste,7.167.021,6.978.327,7.073.305,7.127.664,,,,,,,,,28.346.318
Sudeste/C. Oeste,26.595.889,26.994.693,28.032.371,26.598.709,,,,,,,,,108.221.661
Sul,8.883.069,9.703.075,9.749.096,8.743.641,,,,,,,,,37.078.882
*Dados preliminares (última atualização: 2025-05-28),,,,,,,,,,,,,
,2024,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
TOTAL BRASIL,46.967.018,46.366.614,47.948.987,47.394.281,47.103.034,45.627.991,44.912.154,46.131.062,46.405.443,47.995.312,47.368.768,47.369.700,561.590.365
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,3.467.739,3.313.356,3.469.827,3.483.942,3.637.943,3.576.635,3.713.667,3.818.711,3.873.153,3.943.200,3.831.848,3.767.051,43.897.072
Nordeste,8.425.050,8.143.742,8.233.999,8.328.842,8.331.418,8.219.744,8.008.589,8.173.625,8.305.615,8.376.096,8.739.757,8.751.443,100.037.919
Sudeste,22.478.505,22.120.148,23.128.301,22.741.506,22.970.990,21.978.148,21.434.715,21.816.537,22.175.367,23.084.454,22.217.443,22.483.820,268.629.934
Sul,8.893.431,9.154.407,9.353.981,9.076.958,8.382.905,8.213.253,8.159.423,8.629.077,8.235.815,8.448.602,8.671.311,8.583.174,103.802.339
Centro-Oeste,3.702.292,3.634.961,3.762.879,3.763.032,3.779.778,3.640.211,3.595.761,3.693.112,3.815.494,4.142.961,3.908.409,3.784.212,45.223.102
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas isolados,238.472,236.052,242.396,253.245,237.635,218.450,230.002,242.105,256.566,264.105,263.925,248.859,2.931.813
Norte,4.007.712,3.808.556,3.940.011,3.918.607,4.160.391,4.177.344,4.290.659,4.407.976,4.454.900,4.533.037,4.505.673,4.435.473,50.640.339
Nordeste,7.213.967,7.002.466,7.095.020,7.192.727,7.113.119,6.978.312,6.766.713,6.896.355,6.994.418,7.018.922,7.347.325,7.395.796,85.015.140
Sudeste/C. Oeste,26.613.436,26.165.133,27.317.579,26.952.743,27.208.983,26.040.632,25.465.357,25.955.549,26.463.744,27.730.646,26.580.535,26.706.398,319.200.735
